file,top_k,omp_sparsity,omp_selected_count,omp_support_grid_indices,omp_residual_norm,optimal_rss,sweep_rss,beamformer_top1_rss,omp_rss,sweep_gain_ratio_to_optimal,beamformer_top1_gain_ratio_to_optimal,omp_gain_ratio_to_optimal,sweep_gain_loss_to_optimal_db,beamformer_top1_gain_loss_to_optimal_db,omp_gain_loss_to_optimal_db,omp_gain_loss_minus_sweep_gain_loss_db,sweep_similarity_to_optimal,beamformer_top1_similarity_to_optimal,omp_similarity_to_optimal,beamformer_top1_index,beamformer_top1_phi_index,beamformer_top1_theta_index,beamformer_top1_phi_deg,beamformer_top1_theta_deg,sweep_index,sweep_phi_index,sweep_theta_index,sweep_phi_deg,sweep_theta_deg
seed666-epoch46-24.mat,10,10,10,263 343 203 264 303 183 223 323 243 283,0.42011272000505334,1.105110404491949e-08,9.776653527115915e-11,8.523829519735928e-09,9.212956253472917e-09,0.008846766338798995,0.7713102224980478,0.8336684023627827,20.532150028971827,1.127709115471319,0.7900665800380864,-19.74208344893374,0.08839882165193558,0.8692145943641663,0.9074721336364746,263,13,3,58.5,14.210526315789473,106,5,6,22.5,28.421052631578945
seed666-epoch47-49.mat,10,10,10,728 1594 730 91 729 1595 709 748 708 749,0.7123014012753022,2.8124725237325872e-11,4.496903171700253e-12,7.063905710362926e-12,1.4626815836108675e-11,0.15989145258322968,0.25116354562596854,0.5200696437985685,7.961666386264824,6.0003879085665375,2.839370700484764,-5.12229568578006,0.3663235902786255,0.47557398676872253,0.7018737196922302,729,36,9,162.0,42.63157894736842,1593,79,13,355.5,61.57894736842105
seed666-epoch70-32.mat,10,10,10,13 10 1590 30 1589 15 11 9 12 14,0.1643956794021517,5.1145520652330655e-09,2.459514912894243e-09,2.406944236201999e-09,4.97758299448278e-09,0.4808856927301932,0.47060704544657256,0.9732197328322546,3.1795813465970753,3.2734156574720856,0.11789093739702139,-3.061690409200054,0.692880392074585,0.6845996975898743,0.986394464969635,10,0,10,0.0,47.368421052631575,13,0,13,0.0,61.57894736842105
seed666-epoch70-91.mat,10,10,10,112 154 91 155 93 114 111 94 92 113,0.44546700832363606,1.1185863600198326e-08,2.8043039457935847e-09,4.8518496914694355e-09,9.214673098281784e-09,0.25070070993390836,0.4337483331535897,0.8237784249504354,6.008444246013738,3.627621760744802,0.841895857268554,-5.166548388745184,0.49397012591362,0.6495458483695984,0.8952983617782593,92,4,12,18.0,56.84210526315789,113,5,13,22.5,61.57894736842105
seed666-epoch72-89.mat,10,10,10,1595 837 1593 1599 1594 1597 838 839 1596 1598,0.34796806570080996,4.051986773351664e-09,1.994044739439055e-09,3.1654077447992167e-09,3.564878648947944e-09,0.4921153130491711,0.7811989332287234,0.8797853616879403,3.0793310984367537,1.072383554354758,0.5562326684489136,-2.52309842998784,0.6984464526176453,0.8829140067100525,0.9375063180923462,1595,79,15,355.5,71.05263157894737,1599,79,19,355.5,90.0
seed6761-epoch21-12.mat,10,10,10,435 415 1199 414 433 437 439 434 436 438,0.37760921786838453,1.1313042171421698e-10,4.39276419483653e-11,7.89152211167859e-11,9.714126961450789e-11,0.3882920374798263,0.6975596830721326,0.8586662026231999,4.108409104635854,1.5641846187049566,0.6617556754803786,-3.446653429155475,0.621868908405304,0.8342100977897644,0.9259651303291321,435,21,15,94.5,71.05263157894737,439,21,19,94.5,90.0
seed6761-epoch21-33.mat,10,10,10,1016 995 1014 998 1019 996 1015 1017 997 1018,0.49432907177987345,5.673977602664922e-10,1.5938055517723172e-11,3.3101494105842915e-10,4.298222369468759e-10,0.02808973992114011,0.5833913424384332,0.757532487870589,15.514496335099096,2.3403996546251733,1.2059871258356196,-14.308509209263477,0.1671951860189438,0.7625499367713928,0.8692747354507446,1016,50,16,225.0,75.78947368421052,1279,63,19,283.5,90.0
seed6761-epoch21-53.mat,10,10,10,328 349 368 308 428 309 427 369 348 329,0.5293796151150023,2.839550077209319e-11,7.555623641013553e-13,1.8831025085904253e-11,2.0659520968653995e-11,0.02660852401109666,0.6631693252056042,0.7275631845506301,15.749232689400486,1.7837479339777929,1.3812871210124484,-14.367945568388038,0.15813975036144257,0.8096186518669128,0.8483849167823792,328,16,8,72.0,37.89473684210526,853,42,13,189.0,61.57894736842105
seed6761-epoch22-10.mat,10,10,10,1201 1341 1161 1281 1241 1321 1181 1301 1221 1261,0.7336473210872653,1.0764718515008625e-08,1.5956528886241073e-09,4.6653076187174375e-09,5.190959603893611e-09,0.14822987581137217,0.43338872374719956,0.48221972517499234,8.290642320645574,3.631223874141412,3.167550244680939,-5.123092075964635,0.36979860067367554,0.6414653062820435,0.6795304417610168,1261,63,1,283.5,4.7368421052631575,0,0,0,0.0,0.0
seed6761-epoch22-96.mat,10,10,10,755 816 774 759 776 754 775 756 757 758,0.7626964921596985,1.7076273605719049e-09,3.19889909163454e-10,5.810133162794754e-10,7.526578092009131e-10,0.187330044334918,0.3402459633142017,0.4407623270622924,7.273924537647218,4.682069692584761,3.5579550041774866,-3.715969533469732,0.3973923325538635,0.5440906286239624,0.646756649017334,755,37,15,166.5,71.05263157894737,753,37,13,166.5,61.57894736842105
