file,rank,index,phi_index,theta_index,phi_deg,theta_deg,predicted_rss,predicted_rss_db,selected_by_omp,omp_order,omp_coeff_real,omp_coeff_imag,omp_coeff_abs
seed1005-epoch38-96.mat,8,1127,56,7,252.0,33.1578947368421,3.905059955955359e-11,-104.0837118170646,True,7,0.041600191727467775,0.1033410455062746,0.1113999445156594
seed1005-epoch38-96.mat,9,1105,55,5,247.5,23.684210526315788,2.8188467185441546e-11,-105.4992699859703,True,9,0.021257963314231174,0.24716443863170576,0.24807692502204923
seed1005-epoch38-96.mat,10,1086,54,6,243.0,28.421052631578945,2.728536147023064e-11,-105.64068696735886,True,8,0.09616636362598224,-0.028018843772729982,0.10016498938953317
seed1005-epoch60-93.mat,1,1246,62,6,279.0,28.421052631578945,1.6523526253850451e-12,-117.81870982570783,True,1,-0.8791515254339239,-1.1664321966861684,1.460640775187012
seed1005-epoch60-93.mat,2,1266,63,6,283.5,28.421052631578945,1.251254308498595e-12,-119.02619706741592,True,10,-0.3944068727238682,0.961085566605222,1.03886584677171
seed1005-epoch60-93.mat,3,1226,61,6,274.5,28.421052631578945,1.2396234212730395e-12,-119.06675193880321,True,8,1.1726336056491298,0.5182979280419405,1.2820695438665748
seed1005-epoch60-93.mat,4,1245,62,5,279.0,23.684210526315788,8.329037329626865e-13,-120.79353052372967,True,9,-0.31992199842798236,-0.36786897835301385,0.48752196905641504
seed1005-epoch60-93.mat,5,1286,64,6,288.0,28.421052631578945,7.392042165009494e-13,-121.31176816867715,True,5,0.2330026104032146,-0.24947767843209576,0.3413639238270213
seed1005-epoch60-93.mat,6,1206,60,6,270.0,28.421052631578945,7.039735005869019e-13,-121.52382001038164,True,6,-0.34819784890005884,0.18869348798411462,0.39603910714251367
seed1005-epoch60-93.mat,7,1225,61,5,274.5,23.684210526315788,6.922754470367609e-13,-121.59658341440081,True,3,0.07329474636428399,0.06891461461273239,0.10060489029776906
seed1005-epoch60-93.mat,8,1265,63,5,283.5,23.684210526315788,6.442363461277301e-13,-121.90887370007836,True,7,-0.03840177763312766,0.2504860409701018,0.2534126146154917
seed1005-epoch60-93.mat,9,854,42,14,189.0,66.3157894736842,5.751915328582047e-13,-122.40112017874412,True,2,0.4193567230733493,-0.35191756497961846,0.5474541384700656
seed1005-epoch60-93.mat,10,853,42,13,189.0,61.57894736842105,4.808019217136805e-13,-123.17943487455244,True,4,-0.3902875524142713,-0.10081619585801865,0.40309834893832663
seed1005-epoch61-93.mat,1,691,34,11,153.0,52.10526315789473,3.019516711319503e-12,-115.20048179798843,True,9,-0.1279196427386973,-0.014122844351169898,0.12869689091412942
seed1005-epoch61-93.mat,2,194,9,14,40.5,66.3157894736842,2.255339361448283e-12,-116.46768844621431,True,10,-0.40854067412082423,1.143216348471088,1.2140218704054164
seed1005-epoch61-93.mat,3,193,9,13,40.5,61.57894736842105,2.122759433509369e-12,-116.73078761967923,True,7,-1.0839694895747725,-0.4506931829867143,1.1739310880625355
seed1005-epoch61-93.mat,4,690,34,10,153.0,47.368421052631575,1.7990749948820772e-12,-117.44926593399568,True,4,-0.1320148723335959,0.0962323739656911,0.1633664479516166
seed1005-epoch61-93.mat,5,692,34,12,153.0,56.84210526315789,1.3110814517380831e-12,-118.82337203019601,True,6,0.18396306920788624,0.16338437225099509,0.24604240270375607
seed1005-epoch61-93.mat,6,671,33,11,148.5,52.10526315789473,1.2722289584668478e-12,-118.95400588077067,True,8,-0.1300895929410465,-0.003104969358202586,0.13012664226161585
seed1005-epoch61-93.mat,7,192,9,12,40.5,56.84210526315789,1.140666337426377e-12,-119.42803302784698,True,3,-0.10528637068607159,-0.4639564950527878,0.4757529286866371
seed1005-epoch61-93.mat,8,611,30,11,135.0,52.10526315789473,1.077168519311722e-12,-119.67676031223576,True,1,-0.3950035210512336,-0.4680051715690793,0.6124186658310438
seed1005-epoch61-93.mat,9,195,9,15,40.5,71.05263157894737,9.86746058126431e-13,-120.05750589296446,True,2,0.49382452598569015,-0.29288480357171254,0.5741464714062364
seed1005-epoch61-93.mat,10,672,33,12,148.5,56.84210526315789,9.852135383556226e-13,-120.06425549898034,True,5,0.36580186799201103,-0.08158875702327201,0.3747902505389477
seed1080-epoch11-31.mat,1,997,49,17,220.5,80.52631578947367,9.348442020495895e-10,-90.2926071467971,True,7,-32.66490485833477,-32.422454822198056,46.024032701421724
seed1080-epoch11-31.mat,2,998,49,18,220.5,85.26315789473684,9.142264167927294e-10,-90.38946186317582,True,10,100.11751908256447,46.63681345558262,110.44686503716831
seed1080-epoch11-31.mat,3,999,49,19,220.5,90.0,9.139566325977455e-10,-90.39074363608427,True,4,-69.01820786509606,-23.12622249849091,72.78966399125164
seed1080-epoch11-31.mat,4,996,49,16,220.5,75.78947368421052,8.945804097493237e-10,-90.48380568046356,True,6,1.5306035186932359,8.234356686884244,8.375403105419545
seed1080-epoch11-31.mat,5,1016,50,16,225.0,75.78947368421052,8.020997754876191e-10,-90.95771551076757,True,5,38.84096382701256,-36.325468297070984,53.18044864433551
seed1080-epoch11-31.mat,6,1015,50,15,225.0,71.05263157894737,7.00316749036034e-10,-91.5470542476532,True,1,-7.939871479136169,-0.7882232308812753,7.9789006114189
seed1080-epoch11-31.mat,7,1017,50,17,225.0,80.52631578947367,6.828227427924105e-10,-91.65691958657546,True,8,-31.403334996122265,176.19450874648402,178.97115510968104
seed1080-epoch11-31.mat,8,995,49,15,220.5,71.05263157894737,6.739457880655664e-10,-91.71374972096649,True,2,-0.06836316431581395,0.12348313000820277,0.1411439181541085
seed1080-epoch11-31.mat,9,1018,50,18,225.0,85.26315789473684,6.005769215278178e-10,-92.21431288211926,True,9,-72.61213943421697,-350.4672575465241,357.9103538672719
seed1080-epoch11-31.mat,10,1019,50,19,225.0,90.0,5.839415617714394e-10,-92.3363053856618,True,3,72.7853383863231,212.5581857208106,224.6746265178473
