file,beamformer_index,beamformer_phi_index,beamformer_theta_index,beamformer_phi_deg,beamformer_theta_deg,sweep_index,sweep_phi_index,sweep_theta_index,sweep_phi_deg,sweep_theta_deg,beamformer_matches_sweep,sweep_similarity_to_optimal,beamformer_similarity_to_optimal,sweep_similarity_squared_to_optimal,beamformer_similarity_squared_to_optimal,beamformer_vs_sweep_phi_error_deg,beamformer_vs_sweep_theta_error_deg,optimal_rss,beamformer_rss,sweep_rss,sweep_gain_loss_to_optimal_db,beamformer_gain_loss_to_optimal_db,best_reference_index
seed3142-epoch14-71.mat,947,47,7,211.5,33.1578947368421,946,47,6,211.5,28.421052631578945,False,0.5618284940719604,0.9536362290382385,0.3156512567511669,0.9094220573342717,0.0,4.7368421052631575,1.831555778583922e-09,1.6700674118957208e-09,5.958439223450944e-10,4.876875862560752,0.40086145303851595,37
seed3142-epoch14-84.mat,46,2,6,9.0,28.421052631578945,6,0,6,0.0,28.421052631578945,False,0.6495510935783386,0.9430258274078369,0.4219166231688156,0.8892977111582354,9.0,0.0,1.4317134218468608e-09,1.2736382282021262e-09,6.041828524842264e-10,3.746876595451141,0.5081000666149436,51
seed3142-epoch38-91.mat,1250,62,10,279.0,47.368421052631575,859,42,19,189.0,90.0,False,0.2686552107334137,0.7948926091194153,0.07217562225421492,0.6318542600326715,90.0,42.631578947368425,4.321568175827501e-09,2.7480179000490245e-09,3.463490729148037e-10,10.961272238708887,1.9662180563590965,62
seed3142-epoch59-39.mat,1592,79,12,355.5,56.84210526315789,1593,79,13,355.5,61.57894736842105,False,0.7572718858718872,0.890082836151123,0.5734607091319646,0.792247455210827,0.0,4.7368421052631575,1.5460366391481104e-09,1.2329712920323611e-09,9.007283755402111e-10,2.3462591733166818,0.9826681002199109,57
seed3142-epoch59-52.mat,774,38,14,171.0,66.3157894736842,953,47,13,211.5,61.57894736842105,False,0.16263125836849213,0.7541981935501099,0.02644892619851924,0.568814915154249,40.5,4.7368421052631575,4.137429081255724e-10,2.4185897885638955e-10,2.1147187888528237e-11,12.91475990076286,2.3316827318299147,26
seed3142-epoch59-72.mat,525,26,5,117.0,23.684210526315788,526,26,6,117.0,28.421052631578945,False,0.6161478757858276,0.8226706385612488,0.3796382048353877,0.6767869795507728,0.0,4.7368421052631575,4.691409052570094e-09,3.175669098278669e-09,1.7816053998713145e-09,4.204917660801385,1.6946805407537369,55
seed3142-epoch6-18.mat,751,37,11,166.5,52.10526315789473,653,32,13,144.0,61.57894736842105,False,0.3892732858657837,0.4823250472545624,0.15153369108874415,0.23263745120911583,22.5,9.473684210526315,2.1316483412654695e-10,5.068885268322841e-11,3.2830091368371585e-11,8.124423500402003,6.238024462142462,35
seed315-epoch17-26.mat,853,42,13,189.0,61.57894736842105,1486,74,6,333.0,28.421052631578945,False,0.24268873035907745,0.0171931441873312,0.058897819843301,0.0002956042070463606,144.0,33.1578947368421,6.31174664158796e-09,4.98087602225704e-11,3.724502713815985e-10,12.29081152855484,21.028429606399,49
seed315-epoch17-33.mat,126,6,6,27.0,28.421052631578945,106,5,6,22.5,28.421052631578945,False,0.7891193628311157,0.8862771987915039,0.6227093687949861,0.7854872730977149,4.5,0.0,3.2576608038471777e-09,2.559818772019293e-09,2.029887616364246e-09,2.054338602885977,1.0469663924579322,57
seed315-epoch19-58.mat,814,40,14,180.0,66.3157894736842,19,0,19,0.0,90.0,False,0.4256112575531006,0.8992919325828552,0.18114494255593172,0.8087259800086066,180.0,23.684210526315795,1.1155638994982821e-09,9.036001253765598e-10,2.0678780074261552e-10,7.319693662592599,0.9151816007967,7
seed315-epoch19-93.mat,792,39,12,175.5,56.84210526315789,19,0,19,0.0,90.0,False,0.15436093509197235,0.9178705215454102,0.0238272982824681,0.8424862943220432,175.5,33.15789473684211,2.477782914881695e-09,2.094611117607474e-09,6.005221398774709e-11,16.155335248731674,0.7295984649448428,9
seed315-epoch40-75.mat,1526,76,6,342.0,28.421052631578945,1486,74,6,333.0,28.421052631578945,False,0.4050213098526001,0.7422945499420166,0.1640422614347159,0.551001198873621,9.0,0.0,5.015420536764312e-11,2.7648222566120295e-11,8.309475452774271e-12,7.807293841819245,2.5863943221769006,36
seed315-epoch41-22.mat,28,1,8,4.5,37.89473684210526,6,0,6,0.0,28.421052631578945,False,0.2567504048347473,0.6583796739578247,0.06592077038280664,0.43346379508081156,4.5,9.473684210526315,1.885038255525993e-10,8.187071569849088e-11,1.2468798847308546e-11,11.794922969404197,3.6219128133184597,54
seed315-epoch41-56.mat,165,8,5,36.0,23.684210526315788,226,11,6,49.5,28.421052631578945,False,0.05147432163357735,0.8598159551620483,0.002649605787636969,0.7392834767512255,13.5,4.7368421052631575,3.68341569067557e-09,2.730839221494115e-09,9.830636193862651e-12,25.736647035336034,1.2995459792032307,45
seed3151-epoch13-26.mat,768,38,8,171.0,37.89473684210526,19,0,19,0.0,90.0,False,0.07816797494888306,0.5880237817764282,0.006110232307609209,0.3457719679346525,171.0,52.10526315789474,4.0623518960796815e-11,1.4741960604586652e-11,3.496297290898233e-12,10.651578349158527,4.402204177257929,24
seed3151-epoch2-97.mat,1085,54,5,243.0,23.684210526315788,1066,53,6,238.5,28.421052631578945,False,0.23762255907058716,0.7392787337303162,0.05646448057925468,0.5465330461458997,4.5,4.7368421052631575,2.2327091475710963e-08,1.2404592260115642e-08,1.2690259837521566e-09,12.453616049229609,2.5524965661172274,44
seed3207-epoch0-8.mat,954,47,14,211.5,66.3157894736842,953,47,13,211.5,61.57894736842105,False,0.5066677331924438,0.7259693741798401,0.25671219185836947,0.5270315322470687,0.0,4.7368421052631575,1.189716958239526e-09,6.308775155773095e-10,3.085758301306527e-10,5.860816418262402,2.754985702704275,30
seed3207-epoch1-71.mat,1327,66,7,297.0,33.1578947368421,1366,68,6,306.0,28.421052631578945,False,0.35322606563568115,0.8671246767044067,0.12476865344446253,0.7519052049497219,9.0,4.7368421052631575,4.3015174591011625e-09,3.236312005984866e-09,5.969393706411784e-10,8.576914039391283,1.2357130227229334,1
seed3207-epoch1-95.mat,1471,73,11,328.5,52.10526315789473,113,5,13,22.5,61.57894736842105,False,0.5066093802452087,0.7374037504196167,0.2566530641524345,0.5437642911329164,54.0,9.473684210526315,3.2120053260940677e-09,1.7712751886173076e-09,9.13987051652001e-10,5.458361795735399,2.584902065166162,43
seed3207-epoch35-45.mat,987,49,7,220.5,33.1578947368421,1166,58,6,261.0,28.421052631578945,False,0.3825371265411377,0.7083227634429932,0.1463346531823504,0.5017211372115185,40.5,4.7368421052631575,1.3223192402621753e-09,6.68862208087113e-10,2.1535798652459893e-10,7.881751661634041,2.95999626820047,58
seed3207-epoch35-5.mat,795,39,15,175.5,71.05263157894737,1599,79,19,355.5,90.0,False,0.4251485764980316,0.6058098673820496,0.18075131209830264,0.3670055954174565,180.0,18.94736842105263,5.730517063475694e-11,2.3202754343635963e-11,1.2243828786718705e-11,6.7027377292268255,3.9265315416062805,26
seed3207-epoch35-77.mat,341,17,1,76.5,4.7368421052631575,0,0,0,0.0,0.0,False,0.405869722366333,0.8557232618331909,0.16473023153372424,0.7322623008424358,76.5,4.7368421052631575,1.0050589022076784e-09,7.36351830909505e-10,1.6568480070605063e-10,7.829086260148927,1.351061278650306,43
seed3207-epoch37-6.mat,932,46,12,207.0,56.84210526315789,1599,79,19,355.5,90.0,False,0.5992404222488403,0.5903975367546082,0.35908908365696846,0.3485692514059089,148.5,33.15789473684211,1.7102917857472143e-08,5.98132467100372e-09,6.1479884681706644e-09,4.443371611394923,4.562728282639128,20
seed3207-epoch6-49.mat,64,3,4,13.5,18.94736842105263,6,0,6,0.0,28.421052631578945,False,0.1590486317873001,0.7783888578414917,0.02529646727341217,0.605889214011782,13.5,9.473684210526315,1.6941125246983726e-09,1.0511598247453767e-09,5.640088762065588e-11,14.7765557002554,2.072734837308772,53
seed3207-epoch6-53.mat,1550,77,10,346.5,47.368421052631575,1493,74,13,333.0,61.57894736842105,False,0.19932933151721954,0.828486979007721,0.03973218240310161,0.6863906743853398,13.5,14.210526315789473,3.0775519043156926e-09,2.11286962684006e-09,1.2252794393330096e-10,13.99969899964212,1.633326797582626,54
seed3207-epoch60-7.mat,35,1,15,4.5,71.05263157894737,13,0,13,0.0,61.57894736842105,False,0.5416520833969116,0.7249904274940491,0.2933869794482149,0.525611119958004,4.5,9.473684210526322,3.4750675673548714e-09,1.8332722746340029e-09,1.0271278387498967e-09,5.293387231374155,2.777362715389742,28
seed3207-epoch60-79.mat,322,16,2,72.0,9.473684210526315,1499,74,19,333.0,90.0,False,0.07862135022878647,0.5165387988090515,0.006181316711797502,0.2668123306750978,99.0,80.52631578947368,4.261565541743311e-10,1.1594856263000142e-10,3.875525707799997e-11,10.412375313956474,5.653035302906147,55
seed3227-epoch24-14.mat,495,24,15,108.0,71.05263157894737,539,26,19,117.0,90.0,False,0.1184118241071701,0.9336785674095154,0.014021360088387391,0.871755667239885,9.0,18.94736842105263,1.6627929753424953e-09,1.4500585962762476e-09,2.725658341765737e-11,17.853651972956257,0.5945262502760755,17
seed3227-epoch24-23.mat,837,41,17,184.5,80.52631578947367,1599,79,19,355.5,90.0,False,0.5737199187278748,0.6219363212585449,0.3291545451451192,0.386804787700612,171.0,9.47368421052633,8.640242421889442e-10,3.3484332519533584e-10,2.8522119143958833e-10,4.8134403607454175,4.116842022613341,7
